掉落规则ID,单次掉落种类数量,可否暴击,可否重复,额外掉落,玩家经验,金币,钻石,竞技币,能量碎片,公会贡献,抽卡券,掉落1ID,掉落1概率,掉落1数量,掉落2ID,掉落2概率,掉落2数量,掉落3ID,掉落3概率,掉落3数量,掉落4ID,掉落4概率,掉落4数量,掉落5ID,掉落5概率,掉落5数量,掉落6ID,掉落6概率,掉落6数量,掉落7ID,掉落7概率,掉落7数量,掉落8ID,掉落8概率,掉落8数量,掉落9ID,掉落9概率,掉落9数量,掉落10ID,掉落10概率,掉落10数量,掉落11ID,掉落11概率,掉落11数量,掉落12ID,掉落12概率,掉落12数量,掉落13ID,掉落13概率,掉落13数量,掉落14ID,掉落14概率,掉落14数量,掉落15ID,掉落15概率,掉落15数量,掉落16ID,掉落16概率,掉落16数量,掉落17ID,掉落17概率,掉落17数量,掉落18ID,掉落18概率,掉落18数量,掉落19ID,掉落19概率,掉落19数量,掉落20ID,掉落20概率,掉落20数量,掉落21ID,掉落21概率,掉落21数量,掉落22ID,掉落22概率,掉落22数量,掉落23ID,掉落23概率,掉落23数量,掉落24ID,掉落24概率,掉落24数量,掉落25ID,掉落25概率,掉落25数量,掉落26ID,掉落26概率,掉落26数量,掉落27ID,掉落27概率,掉落27数量,掉落28ID,掉落28概率,掉落28数量,掉落29ID,掉落29概率,掉落29数量,掉落30ID,掉落30概率,掉落30数量
51103,[3+3],0,1,,[7+40+40],[1+1700+2300],,,,,,100002,3250,[4+6],100001,1500,[2+3],100005,500,[1+1],100004,250,[1+1],100006,100,[1+1],253,1100,[3+3],50029,240,[1+2],50031,235,[1+2],50001,235,[1+2],50002,235,[1+2],50023,235,[1+2],50022,235,[1+2],50025,235,[1+2],50033,550,[1+2],50009,550,[1+2],50016,550,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51201,[2+2],0,1,,[7+15+15],[1+400+600],,,,,,100003,1000,[3+4],100002,3500,[1+3],100001,2000,[1+1],253,1000,[1+1],50029,358,[1+1],50031,357,[1+1],50001,357,[1+1],50002,357,[1+1],50023,357,[1+1],50022,357,[1+1],50025,357,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51202,[3+3],0,1,,[7+25+25],[1+800+1200],,,,,,100003,800,[4+6],100002,2400,[2+4],100001,1500,[1+3],100005,500,[1+1],100004,150,[1+1],253,1350,[1+1],50029,240,[1+1],50031,235,[1+1],50001,235,[1+1],50002,235,[1+1],50023,235,[1+1],50022,235,[1+1],50025,235,[1+1],50033,550,[1+1],50009,550,[1+1],50016,550,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51203,[3+3],0,1,,[7+40+40],[1+1700+2300],,,,,,100002,1500,[4+6],100001,2500,[2+4],100005,1000,[1+1],100004,400,[1+1],100006,200,[1+1],253,1100,[3+3],50029,240,[1+2],50031,235,[1+2],50001,235,[1+2],50002,235,[1+2],50023,235,[1+2],50022,235,[1+2],50025,235,[1+2],50033,550,[1+2],50009,550,[1+2],50016,550,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52001,[2+2],0,1,,[7+15+15],[1+460+690],,,,,,100003,4500,[3+5],100002,1500,[2+3],100001,500,[1+1],253,1000,[1+1],50029,284,[1+1],50031,277,[1+1],50001,277,[1+1],50002,277,[1+1],50023,277,[1+1],50022,277,[1+1],50025,277,[1+1],50030,277,[1+1],50003,277,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52002,[3+3],0,1,,[7+25+25],[1+920+1380],,,,,,100003,3300,[5+6],100002,1300,[3+4],100001,500,[2+3],100005,200,[1+1],100004,50,[1+1],253,1350,[1+1],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,185,[2+2],50009,183,[2+2],50016,183,[2+2],50036,183,[2+2],50008,183,[2+2],50024,183,[2+2],50004,550,[1+1],50017,550,[1+1],,,,,,,,,,,,,,,,,,,,,
52003,[3+3],0,1,,[7+40+40],[1+1955+2645],,,,,,100002,4350,[5+6],100001,750,[3+3],100005,300,[1+1],100004,150,[1+1],100006,50,[1+1],253,1100,[3+4],50029,110,[3+3],50031,105,[3+3],50001,105,[3+3],50002,105,[3+3],50023,105,[3+3],50022,105,[3+3],50025,105,[3+3],50030,105,[3+3],50003,105,[3+3],50033,160,[3+3],50009,158,[3+3],50016,158,[3+3],50036,158,[3+3],50008,158,[3+3],50024,158,[3+3],50004,700,[2+2],50017,700,[2+2],,,,,,,,,,,,,,,,,,,,,
52101,[2+2],0,1,,[7+15+15],[1+460+690],,,,,,100003,2250,[3+5],100002,3250,[2+3],100001,1000,[1+1],253,1000,[1+1],50029,284,[1+1],50031,277,[1+1],50001,277,[1+1],50002,277,[1+1],50023,277,[1+1],50022,277,[1+1],50025,277,[1+1],50030,277,[1+1],50003,277,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52102,[3+3],0,1,,[7+25+25],[1+920+1380],,,,,,100003,1650,[5+6],100002,2600,[3+4],100001,750,[2+3],100005,300,[1+1],100004,50,[1+1],253,1350,[1+1],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,185,[2+2],50009,183,[2+2],50016,183,[2+2],50036,183,[2+2],50008,183,[2+2],50024,183,[2+2],50004,550,[1+1],50017,550,[1+1],,,,,,,,,,,,,,,,,,,,,
52103,[3+3],0,1,,[7+40+40],[1+1955+2645],,,,,,100002,3250,[5+6],100001,1500,[3+3],100005,500,[1+1],100004,250,[1+1],100006,100,[1+1],253,1100,[3+4],50029,110,[3+3],50031,105,[3+3],50001,105,[3+3],50002,105,[3+3],50023,105,[3+3],50022,105,[3+3],50025,105,[3+3],50030,105,[3+3],50003,105,[3+3],50033,160,[3+3],50009,158,[3+3],50016,158,[3+3],50036,158,[3+3],50008,158,[3+3],50024,158,[3+3],50004,700,[2+2],50017,700,[2+2],,,,,,,,,,,,,,,,,,,,,
52201,[2+2],0,1,,[7+15+15],[1+460+690],,,,,,100003,1000,[3+5],100002,3500,[2+3],100001,2000,[1+1],253,1000,[1+1],50029,284,[1+1],50031,277,[1+1],50001,277,[1+1],50002,277,[1+1],50023,277,[1+1],50022,277,[1+1],50025,277,[1+1],50030,277,[1+1],50003,277,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52202,[3+3],0,1,,[7+25+25],[1+920+1380],,,,,,100003,800,[5+6],100002,2400,[3+4],100001,1500,[2+3],100005,500,[1+1],100004,150,[1+1],253,1350,[1+1],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,185,[2+2],50009,183,[2+2],50016,183,[2+2],50036,183,[2+2],50008,183,[2+2],50024,183,[2+2],50004,550,[1+1],50017,550,[1+1],,,,,,,,,,,,,,,,,,,,,
52203,[3+3],0,1,,[7+40+40],[1+1955+2645],,,,,,100002,1500,[5+6],100001,2500,[3+4],100005,1000,[1+1],100004,400,[1+1],100006,200,[1+1],253,1100,[3+4],50029,110,[3+3],50031,105,[3+3],50001,105,[3+3],50002,105,[3+3],50023,105,[3+3],50022,105,[3+3],50025,105,[3+3],50030,105,[3+3],50003,105,[3+3],50033,160,[3+3],50009,158,[3+3],50016,158,[3+3],50036,158,[3+3],50008,158,[3+3],50024,158,[3+3],50004,700,[2+2],50017,700,[2+2],,,,,,,,,,,,,,,,,,,,,
52301,[2+2],0,1,,[7+15+15],[1+460+690],,,,,,100003,1000,[3+5],100002,3500,[2+3],100001,2000,[1+1],253,1000,[1+1],50029,284,[1+1],50031,277,[1+1],50001,277,[1+1],50002,277,[1+1],50023,277,[1+1],50022,277,[1+1],50025,277,[1+1],50030,277,[1+1],50003,277,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52302,[3+3],0,1,,[7+25+25],[1+920+1380],,,,,,100003,100,[5+6],100002,1000,[3+4],100001,2950,[2+3],100005,1000,[1+1],100004,300,[1+1],253,1350,[1+1],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,185,[2+2],50009,183,[2+2],50016,183,[2+2],50036,183,[2+2],50008,183,[2+2],50024,183,[2+2],50004,550,[1+1],50017,550,[1+1],,,,,,,,,,,,,,,,,,,,,
52303,[3+3],0,1,,[7+40+40],[1+1955+2645],,,,,,100002,750,[5+6],100001,2150,[4+4],100005,1500,[2+2],100004,800,[1+1],100006,400,[1+1],253,1100,[3+4],50029,110,[3+3],50031,105,[3+3],50001,105,[3+3],50002,105,[3+3],50023,105,[3+3],50022,105,[3+3],50025,105,[3+3],50030,105,[3+3],50003,105,[3+3],50033,160,[3+3],50009,158,[3+3],50016,158,[3+3],50036,158,[3+3],50008,158,[3+3],50024,158,[3+3],50004,700,[2+2],50017,700,[2+2],,,,,,,,,,,,,,,,,,,,,
53001,[2+2],0,1,,[7+15+15],[1+520+780],,,,,,100003,4500,[4+5],100002,1500,[2+3],100001,500,[1+1],253,1000,[1+2],50029,284,[1+2],50031,277,[1+2],50001,277,[1+2],50002,277,[1+2],50023,277,[1+2],50022,277,[1+2],50025,277,[1+2],50030,277,[1+2],50003,277,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53002,[3+3],0,1,,[7+25+25],[1+1040+1560],,,,,,100003,3300,[6+7],100002,1300,[4+4],100001,500,[2+3],100005,200,[1+1],100004,50,[1+1],253,1350,[1+2],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,138,[2+2],50009,138,[2+2],50016,138,[2+2],50036,138,[2+2],50008,137,[2+2],50024,137,[2+2],50032,137,[2+2],50043,137,[2+2],50004,185,[1+1],50017,183,[1+1],50006,183,[1+1],50027,183,[1+1],50028,183,[1+1],50042,183,[1+1],,,
53003,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,4350,[6+7],100001,750,[3+3],100005,300,[1+1],100004,150,[1+1],100006,50,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50033,175,[4+5],50009,175,[4+5],50016,175,[4+5],50036,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53004,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,2500,[12+14],100005,1600,[7+9],100004,900,[4+6],100006,300,[3+5],100007,150,[1+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50033,175,[12+12],50009,175,[12+12],50016,175,[6+7],50036,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53013,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,4350,[6+7],100001,750,[3+3],100005,300,[1+1],100004,150,[1+1],100006,50,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50008,175,[4+5],50024,175,[4+5],50032,175,[4+5],50043,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53014,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,2500,[12+14],100005,1600,[7+9],100004,900,[4+6],100006,300,[3+5],100007,150,[1+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50008,175,[12+12],50024,175,[12+12],50032,175,[6+7],50043,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53101,[2+2],0,1,,[7+15+15],[1+520+780],,,,,,100003,2250,[4+5],100002,3250,[2+3],100001,1000,[1+1],253,1000,[1+2],50029,284,[1+2],50031,277,[1+2],50001,277,[1+2],50002,277,[1+2],50023,277,[1+2],50022,277,[1+2],50025,277,[1+2],50030,277,[1+2],50003,277,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53102,[3+3],0,1,,[7+25+25],[1+1040+1560],,,,,,100003,1650,[6+7],100002,2600,[4+4],100001,750,[2+3],100005,300,[1+1],100004,50,[1+1],253,1350,[1+2],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,138,[2+2],50009,138,[2+2],50016,138,[2+2],50036,138,[2+2],50008,137,[2+2],50024,137,[2+2],50032,137,[2+2],50043,137,[2+2],50004,185,[1+1],50017,183,[1+1],50006,183,[1+1],50027,183,[1+1],50028,183,[1+1],50042,183,[1+1],,,
53103,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,3250,[6+7],100001,1500,[3+3],100005,500,[1+1],100004,250,[1+1],100006,100,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50033,175,[4+5],50009,175,[4+5],50016,175,[4+5],50036,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53104,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,1500,[12+14],100005,2350,[10+11],100004,1000,[4+6],100006,400,[3+5],100007,200,[1+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50033,175,[12+12],50009,175,[12+12],50016,175,[6+7],50036,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53113,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,3250,[6+7],100001,1500,[3+3],100005,500,[1+1],100004,250,[1+1],100006,100,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50008,175,[4+5],50024,175,[4+5],50032,175,[4+5],50043,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53114,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,1500,[12+14],100005,2350,[10+11],100004,1000,[4+6],100006,400,[3+5],100007,200,[1+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50008,175,[12+12],50024,175,[12+12],50032,175,[6+7],50043,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53201,[2+2],0,1,,[7+15+15],[1+520+780],,,,,,100003,1000,[4+5],100002,3500,[2+3],100001,2000,[1+1],253,1000,[1+2],50029,284,[1+2],50031,277,[1+2],50001,277,[1+2],50002,277,[1+2],50023,277,[1+2],50022,277,[1+2],50025,277,[1+2],50030,277,[1+2],50003,277,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53202,[3+3],0,1,,[7+25+25],[1+1040+1560],,,,,,100003,800,[6+7],100002,2400,[4+4],100001,1500,[2+3],100005,500,[1+1],100004,150,[1+1],253,1350,[1+2],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,138,[2+2],50009,138,[2+2],50016,138,[2+2],50036,138,[2+2],50008,137,[2+2],50024,137,[2+2],50032,137,[2+2],50043,137,[2+2],50004,185,[1+1],50017,183,[1+1],50006,183,[1+1],50027,183,[1+1],50028,183,[1+1],50042,183,[1+1],,,
53203,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,1500,[6+7],100001,2500,[4+4],100005,1000,[1+1],100004,400,[1+1],100006,200,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50033,175,[4+5],50009,175,[4+5],50016,175,[4+5],50036,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53204,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,750,[12+14],100005,2000,[12+14],100004,1500,[6+7],100006,800,[3+5],100007,400,[1+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50033,175,[12+12],50009,175,[12+12],50016,175,[6+7],50036,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53213,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,1500,[6+7],100001,2500,[4+4],100005,1000,[1+1],100004,400,[1+1],100006,200,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50008,175,[4+5],50024,175,[4+5],50032,175,[4+5],50043,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53214,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,750,[12+14],100005,2000,[12+14],100004,1500,[6+7],100006,800,[3+5],100007,400,[1+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50008,175,[12+12],50024,175,[12+12],50032,175,[6+7],50043,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53301,[2+2],0,1,,[7+15+15],[1+520+780],,,,,,100003,1000,[4+5],100002,3500,[2+3],100001,2000,[1+1],253,1000,[1+2],50029,284,[1+2],50031,277,[1+2],50001,277,[1+2],50002,277,[1+2],50023,277,[1+2],50022,277,[1+2],50025,277,[1+2],50030,277,[1+2],50003,277,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53302,[3+3],0,1,,[7+25+25],[1+1040+1560],,,,,,100003,100,[6+7],100002,1000,[4+4],100001,2950,[2+3],100005,1000,[1+1],100004,300,[1+1],253,1350,[1+2],50029,124,[2+2],50031,122,[2+2],50001,122,[2+2],50002,122,[2+2],50023,122,[2+2],50022,122,[2+2],50025,122,[2+2],50030,122,[2+2],50003,122,[2+2],50033,138,[2+2],50009,138,[2+2],50016,138,[2+2],50036,138,[2+2],50008,137,[2+2],50024,137,[2+2],50032,137,[2+2],50043,137,[2+2],50004,185,[1+1],50017,183,[1+1],50006,183,[1+1],50027,183,[1+1],50028,183,[1+1],50042,183,[1+1],,,
53303,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,750,[6+7],100001,2150,[4+5],100005,1500,[2+2],100004,800,[1+1],100006,400,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50033,175,[4+5],50009,175,[4+5],50016,175,[4+5],50036,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53304,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,250,[12+14],100005,1700,[12+14],100004,2000,[7+9],100006,1000,[4+6],100007,500,[2+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50033,175,[12+12],50009,175,[12+12],50016,175,[6+7],50036,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
53313,[3+3],0,1,,[7+40+40],[1+2210+2990],,,,,,100002,750,[6+7],100001,2150,[4+5],100005,1500,[2+2],100004,800,[1+1],100006,400,[1+1],253,1100,[4+5],50029,78,[4+5],50031,78,[4+5],50001,78,[4+5],50002,78,[4+5],50023,78,[4+5],50022,78,[4+5],50025,78,[4+5],50030,78,[4+5],50003,76,[4+5],50008,175,[4+5],50024,175,[4+5],50032,175,[4+5],50043,175,[4+5],50004,185,[4+5],50017,183,[4+5],50006,183,[4+5],50027,183,[4+5],50028,183,[4+5],50042,183,[4+5],50037,425,[2+2],50026,425,[2+2],,,,,,,,,
53314,[4+4],0,1,,[7+50+50],[1+10400+15600],,,,,,100001,250,[12+14],100005,1700,[12+14],100004,2000,[7+9],100006,1000,[4+6],100007,500,[2+3],253,1250,[6+6],50029,78,[12+12],50031,78,[12+12],50001,78,[12+12],50002,78,[12+12],50023,78,[12+12],50022,78,[12+12],50025,78,[12+12],50030,78,[12+12],50003,76,[12+12],50008,175,[12+12],50024,175,[12+12],50032,175,[6+7],50043,175,[6+7],50004,185,[6+7],50017,183,[6+7],50006,183,[6+7],50027,183,[6+7],50028,183,[6+7],50042,183,[6+7],50037,425,[3+3],50026,425,[3+3],,,,,,,,,
54001,[2+2],0,1,,[7+15+15],[1+580+870],,,,,,100003,4500,[5+5],100002,1500,[3+3],100001,500,[1+2],253,1000,[1+2],50029,284,[1+2],50031,277,[1+2],50001,277,[1+2],50002,277,[1+2],50023,277,[1+2],50022,277,[1+2],50025,277,[1+2],50030,277,[1+2],50003,277,[1+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54002,[3+3],0,1,,[7+25+25],[1+1160+1740],,,,,,100003,3300,[7+7],100002,1300,[4+5],100001,500,[3+3],100005,200,[1+2],100004,50,[1+2],253,1350,[1+2],50029,124,[2+3],50031,122,[2+3],50001,122,[2+3],50002,122,[2+3],50023,122,[2+3],50022,122,[2+3],50025,122,[2+3],50030,122,[2+3],50003,122,[2+3],50033,275,[2+3],50009,275,[2+3],50016,275,[2+3],50036,275,[2+3],50004,138,[1+2],50017,138,[1+2],50006,138,[1+2],50027,138,[1+2],50028,137,[1+2],50018,137,[1+2],50042,137,[1+2],50044,137,[1+2],,,,,,,,,
54003,[3+3],0,1,,[7+40+40],[1+2465+3335],,,,,,100002,4350,[7+7],100001,750,[3+4],100005,300,[1+2],100004,150,[1+2],100006,50,[1+2],253,1100,[5+5],50029,78,[5+5],50031,78,[5+5],50001,78,[5+5],50002,78,[5+5],50023,78,[5+5],50022,78,[5+5],50025,78,[5+5],50030,78,[5+5],50003,76,[5+5],50033,70,[5+5],50009,70,[5+5],50016,70,[5+5],50036,70,[5+5],50008,70,[5+5],50024,70,[5+5],50032,70,[5+5],50043,70,[5+5],50040,70,[5+5],50004,263,[3+3],50017,263,[3+3],50006,262,[3+3],50027,262,[3+3],50037,425,[1+1],50026,425,[1+1]
54004,[4+4],0,1,,[7+50+50],[1+11600+17400],,,,,,100001,2500,[14+15],100005,1600,[8+9],100004,900,[5+7],100006,300,[4+5],100007,150,[1+3],253,1250,[7+7],50029,78,[13+14],50031,78,[13+14],50001,78,[13+14],50002,78,[13+14],50023,78,[13+14],50022,78,[13+14],50025,78,[13+14],50030,78,[13+14],50003,76,[13+14],50033,70,[13+14],50009,70,[13+14],50016,70,[13+14],50036,70,[13+14],50008,70,[13+14],50024,70,[13+14],50032,70,[13+14],50043,70,[13+14],50040,70,[13+14],50004,263,[5+5],50017,263,[5+5],50006,262,[5+5],50027,262,[5+5],50037,425,[2+2],50026,425,[2+2]
54012,[3+3],0,1,,[7+25+25],[1+1160+1740],,,,,,100003,3300,[7+7],100002,1300,[4+5],100001,500,[3+3],100005,200,[1+2],100004,50,[1+2],253,1350,[1+2],50029,124,[2+3],50031,122,[2+3],50001,122,[2+3],50002,122,[2+3],50023,122,[2+3],50022,122,[2+3],50025,122,[2+3],50030,122,[2+3],50003,122,[2+3],50008,220,[2+3],50024,220,[2+3],50032,220,[2+3],50040,220,[2+3],50043,220,[2+3],50004,138,[1+2],50017,138,[1+2],50006,138,[1+2],50027,138,[1+2],50028,137,[1+2],50018,137,[1+2],50042,137,[1+2],50044,137,[1+2],,,,,,
54013,[3+3],0,1,,[7+40+40],[1+2465+3335],,,,,,100002,4350,[7+7],100001,750,[3+4],100005,300,[1+2],100004,150,[1+2],100006,50,[1+2],253,1100,[5+5],50029,78,[5+5],50031,78,[5+5],50001,78,[5+5],50002,78,[5+5],50023,78,[5+5],50022,78,[5+5],50025,78,[5+5],50030,78,[5+5],50003,76,[5+5],50033,70,[5+5],50009,70,[5+5],50016,70,[5+5],50036,70,[5+5],50008,70,[5+5],50024,70,[5+5],50032,70,[5+5],50043,70,[5+5],50040,70,[5+5],50028,263,[3+3],50018,263,[3+3],50042,262,[3+3],50044,262,[3+3],50034,425,[1+1],50007,425,[1+1]
