装备生成ID,装备备注,生成道具ID,装备基础效果1,装备基础效果1参数,装备基础效果1描述,装备基础效果2,装备基础效果2参数,装备基础效果2描述,装备基础效果3,装备基础效果3参数,装备基础效果3描述,装备基础效果4,装备基础效果4参数,装备基础效果4描述,装备基础效果5,装备基础效果5参数,装备基础效果5描述,装备基础效果6,装备基础效果6参数,装备基础效果6描述,装备基础效果7,装备基础效果7参数,装备基础效果7描述,装备基础效果8,装备基础效果8参数,装备基础效果8描述,装备备选效果1,备选效果1权值,装备备选效果1参数,装备备选效果1描述,装备备选效果2,备选效果2权值,装备备选效果2参数,装备备选效果2描述,装备备选效果3,备选效果3权值,装备备选效果3参数,装备备选效果3描述,装备备选效果4,备选效果4权值,装备备选效果4参数,装备备选效果4描述,装备备选效果5,备选效果5权值,装备备选效果5参数,装备备选效果5描述,装备备选效果6,备选效果6权值,装备备选效果6参数,装备备选效果6描述,装备备选效果7,备选效果7权值,装备备选效果7参数,装备备选效果7描述,装备备选效果8,备选效果8权值,装备效果8参数,装备效果8描述
211094,魔导之帽生成器(绿),21094,4,[65+94],34004,8,[37+53],34008,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,31,1500,[3+7],34031,3,2000,[7+12],34003,,,,,,,,
211095,魔导之帽生成器(蓝),21095,4,[75+108],34004,8,[42+61],34008,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,31,1500,[3+7],34031,3,2000,[7+12],34003,,,,,,,,
211096,魔导之帽生成器(紫),21096,4,[86+124],34004,8,[49+70],34008,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,31,1500,[3+7],34031,3,2000,[7+12],34003,,,,,,,,
211097,星语头环生成器(白),21097,4,[48+69],34004,14,[50+72],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211098,星语头环生成器(绿),21098,4,[56+80],34004,14,[58+84],34014,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,20,1500,[4+8],34020,3,2000,[7+12],34003,,,,,,,,
211099,星语头环生成器(蓝),21099,4,[64+92],34004,14,[66+96],34014,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,20,1500,[4+8],34020,3,2000,[7+12],34003,,,,,,,,
211100,星语头环生成器(紫),21100,4,[73+106],34004,14,[76+110],34014,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,20,1500,[4+8],34020,3,2000,[7+12],34003,,,,,,,,
211101,皮革头盔生成器(白）,21101,4,[68+99],34004,11,[2+4],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211102,皮革头盔生成器(绿）,21102,4,[79+115],34004,11,[3+4],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211103,皮革头盔生成器(蓝),21103,4,[91+132],34004,11,[3+5],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211104,皮革头盔生成器(紫),21104,4,[105+152],34004,11,[4+6],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211105,精钢护盔生成器(白）,21105,4,[117+169],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211106,精钢护盔生成器(绿）,21106,4,[136+196],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211107,精钢护盔生成器(蓝),21107,4,[156+226],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211108,精钢护盔生成器(紫),21108,4,[179+259],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211109,正义之盔生成器(白）,21109,4,[149+215],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211110,正义之盔生成器(绿）,21110,4,[173+250],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211111,正义之盔生成器(蓝),21111,4,[198+287],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211112,正义之盔生成器(紫),21112,4,[228+330],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211113,65守卫头盔生成器(白）,21113,4,[182+264],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211114,65守卫头盔生成器(绿）,21114,4,[212+306],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211115,65守卫头盔生成器(蓝),21115,4,[243+352],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211116,65守卫头盔生成器(紫),21116,4,[280+404],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211501,角斗之盔生成器(金),21501,4,[135+135],34004,6,[30+30],34006,,,,,,,,,,,,,,,,,,,11,2500,[9+9],34011,14,2500,[9+9],34014,21,2500,[2+2],34021,3,2500,[5+5],34003,,,,,,,,,,,,,,,,
211509,战盔生成器(金),21509,4,[87+126],34004,6,[12+18],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,3,2500,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211513,精灵帽生成器(金),21513,4,[49+70],34004,14,[27+40],34014,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,20,1500,[1+3],34020,3,2000,[2+4],34003,,,,,,,,
211517,武士盔生成器(金),21517,4,[62+90],34004,16,[12+18],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211521,飞羽帽生成器(金),21521,4,[35+50],34004,6,[37+54],34006,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211525,魔法帽生成器(金),21525,4,[52+76],34004,8,[12+18],34008,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1500,[4+8],34018,31,1500,[1+3],34031,3,2000,[2+4],34003,,,,,,,,
211529,骑士盔生成器(金),21529,4,[101+146],34004,16,[21+31],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211537,鹰之盔生成器(金),21537,4,[51+74],34004,6,[61+88],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211541,风之盔生成器(金),21541,4,[134+194],34004,6,[27+40],34006,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
211545,术士之帽生成器(金),21545,4,[68+99],34004,8,[27+40],34008,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,31,1500,[2+4],34031,3,2000,[3+6],34003,,,,,,,,
211549,祭司头环生成器(金),21549,4,[60+86],34004,14,[51+74],34014,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2000,[9+19],34011,14,2000,[9+19],34014,18,1500,[6+12],34018,20,1500,[2+4],34020,3,2000,[3+6],34003,,,,,,,,
211553,荣耀之盔生成器(金),21553,4,[136+196],34004,16,[31+45],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211561,王牌之帽生成器(金),21561,4,[68+99],34004,6,[87+126],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211565,暗影之帽生成器(金),21565,4,[167+241],34004,6,[44+63],34006,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
211569,水晶之盔生成器(金),21569,4,[90+130],34004,8,[49+70],34008,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,31,1500,[3+5],34031,3,2000,[5+9],34003,,,,,,,,
211573,祝福之帽生成器(金),21573,4,[78+113],34004,14,[75+108],34014,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2000,[13+25],34011,14,2000,[13+25],34014,18,1500,[8+16],34018,20,1500,[3+6],34020,3,2000,[5+9],34003,,,,,,,,
211577,狂傲之盔生成器(金),21577,4,[173+250],34004,16,[40+58],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211585,狩魂之帽生成器(金),21585,4,[87+126],34004,6,[113+164],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,1500,[10+20],34016,20,1500,[4+8],34020,23,1000,[2+5],34023,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211589,神行头环生成器(金),21589,4,[199+288],34004,6,[60+86],34006,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
211593,魔导之帽生成器(金),21593,4,[112+162],34004,8,[63+92],34008,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,31,1500,[3+7],34031,3,2000,[7+12],34003,,,,,,,,
211597,星语头环生成器(金),21597,4,[96+139],34004,14,[86+124],34014,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2000,[17+33],34011,14,2000,[17+33],34014,18,1500,[10+20],34018,20,1500,[4+8],34020,3,2000,[7+12],34003,,,,,,,,
211601,皮革头盔生成器(金),21601,4,[137+198],34004,11,[5+7],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,1500,[6+12],34011,14,1500,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,3,2000,[2+4],34003,,,,
211605,精钢护盔生成器(金),21605,4,[234+338],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
211609,正义之盔生成器(金),21609,4,[298+430],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,1500,[13+25],34011,14,1500,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,3,2000,[5+9],34003,,,,
211613,65守卫头盔生成器(金),21613,4,[365+527],34004,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,1500,[17+33],34011,14,1500,[17+33],34014,21,1000,[3+5],34021,24,1500,[2+5],34024,25,1500,[5+9],34025,3,2000,[7+12],34003,,,,
211901,1级勇士套装头（橙）,21901,4,[116+168],34004,16,[25+36],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,1500,[9+19],34011,14,1500,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,3,2000,[3+6],34003,,,,
221001,皮衣生成器(白),22001,4,[28+41],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221002,皮衣生成器(绿),22002,4,[32+47],34004,,,,,,,,,,,,,,,,,,,,,,11,5000,[2+4],34011,14,5000,[2+4],34014,,,,,,,,,,,,,,,,,,,,,,,,
221009,战铠生成器(白),22009,4,[44+63],34004,23,[1+2],34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221010,战铠生成器(绿),22010,4,[51+73],34004,23,[1+2],34023,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,3,2000,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221011,战铠生成器(蓝),22011,4,[58+84],34004,23,[2+2],34023,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,3,2000,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221012,战铠生成器(紫),22012,4,[67+97],34004,23,[2+3],34023,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,3,2000,[2+4],34003,20,2000,[1+3],34020,21,1000,[1+2],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221013,精灵袍生成器(白),22013,4,[50+72],34004,14,[6+9],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221014,精灵袍生成器(绿),22014,4,[58+84],34004,14,[7+10],34014,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
221015,精灵袍生成器(蓝),22015,4,[66+96],34004,14,[8+12],34014,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
221016,精灵袍生成器(紫),22016,4,[76+110],34004,14,[10+14],34014,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,2000,[4+8],34018,20,2000,[1+3],34020,,,,,,,,,,,,
221017,武士铠生成器(白),22017,4,[83+120],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221018,武士铠生成器(绿),22018,4,[96+139],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221019,武士铠生成器(蓝),22019,4,[110+160],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221020,武士铠生成器(紫),22020,4,[127+184],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,1500,[1+2],34024,25,1500,[2+4],34025,,,,,,,,
221021,飞羽铠生成器(白),22021,4,[59+85],34004,6,[9+13],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221022,飞羽铠生成器(绿),22022,4,[68+98],34004,6,[10+15],34006,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
221023,飞羽铠生成器(蓝),22023,4,[78+113],34004,6,[12+17],34006,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
221024,飞羽铠生成器(紫),22024,4,[90+130],34004,6,[13+19],34006,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34004,16,1500,[4+8],34016,20,1500,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
221025,魔法袍生成器(白),22025,4,[36+52],34004,31,[2+3],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221026,魔法袍生成器(绿),22026,4,[42+61],34004,31,[2+3],34031,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
221027,魔法袍生成器(蓝),22027,4,[48+70],34004,31,[2+4],34031,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
221028,魔法袍生成器(紫),22028,4,[55+80],34004,31,[3+4],34031,,,,,,,,,,,,,,,,,,,4,2000,[22+37],34008,11,2000,[6+12],34011,14,2000,[6+12],34014,18,1000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
221029,骑士铠生成器(白),22029,4,[102+148],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221030,骑士铠生成器(绿),22030,4,[118+171],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221031,骑士铠生成器(蓝),22031,4,[136+197],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221032,骑士铠生成器(紫),22032,4,[157+226],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,1500,[1+2],34024,25,1500,[2+6],34025,,,,,,,,
221037,鹰之衣生成器(白),22037,4,[82+119],34004,6,[15+22],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221038,鹰之衣生成器(绿),22038,4,[95+138],34004,6,[17+25],34006,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
221039,鹰之衣生成器(蓝),22039,4,[110+158],34004,6,[20+29],34006,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
221040,鹰之衣生成器(紫),22040,4,[126+182],34004,6,[23+33],34006,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,16,1500,[6+12],34016,20,1500,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
221041,风之铠生成器(白),22041,4,[67+97],34004,23,[2+3],34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221042,风之铠生成器(绿),22042,4,[78+113],34004,23,[2+3],34023,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,3,2000,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221043,风之铠生成器(蓝),22043,4,[90+130],34004,23,[2+4],34023,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,3,2000,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221044,风之铠生成器(紫),22044,4,[103+149],34004,23,[3+4],34023,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,3,2000,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2000,[1+2],34024,,,,,,,,
221045,术士之衣生成器(白),22045,4,[47+68],34004,31,[3+5],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221046,术士之衣生成器(绿),22046,4,[55+79],34004,31,[4+5],34031,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
221047,术士之衣生成器(蓝),22047,4,[63+91],34004,31,[4+6],34031,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
221048,术士之衣生成器(紫),22048,4,[73+105],34004,31,[5+7],34031,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
221049,祭司之袍生成器(白),22049,4,[60+86],34004,14,[13+19],34014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221050,祭司之袍生成器(绿),22050,4,[69+100],34004,14,[15+22],34014,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
221051,祭司之袍生成器(蓝),22051,4,[80+115],34004,14,[17+25],34014,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
221052,祭司之袍生成器(紫),22052,4,[92+132],34004,14,[20+29],34014,,,,,,,,,,,,,,,,,,,4,2000,[32+54],34004,11,2000,[9+19],34011,14,2000,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
221053,荣耀之铠生成器(白),22053,4,[137+198],34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221054,荣耀之铠生成器(绿),22054,4,[159+230],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221055,荣耀之铠生成器(蓝),22055,4,[183+264],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221056,荣耀之铠生成器(紫),22056,4,[210+304],34004,,,,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,1500,[1+4],34024,25,1500,[3+7],34025,,,,,,,,
221061,王牌之衣生成器(白),22061,4,[111+161],34004,6,[22+32],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221062,王牌之衣生成器(绿),22062,4,[129+187],34004,6,[26+38],34006,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
221063,王牌之衣生成器(蓝),22063,4,[149+215],34004,6,[30+43],34006,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
221064,王牌之衣生成器(紫),22064,4,[171+247],34004,6,[34+50],34006,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,16,1500,[8+16],34016,20,1500,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
221065,暗影之衣生成器(白),22065,4,[83+121],34004,23,[3+5],34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221066,暗影之衣生成器(绿),22066,4,[97+140],34004,23,[4+5],34023,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,3,2000,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2000,[1+4],34024,,,,,,,,
221067,暗影之衣生成器(蓝),22067,4,[111+161],34004,23,[4+6],34023,,,,,,,,,,,,,,,,,,,4,2000,[45+74],34004,3,2000,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2000,[1+4],34024,,,,,,,,
